iter	Passed	Remaining
438	1306	1669
439	1308	1665
440	1310	1661
441	1313	1658
442	1317	1656
443	1320	1653
444	1322	1649
445	1325	1646
446	1327	1642
447	1330	1638
448	1334	1637
449	1336	1633
450	1338	1629
451	1340	1625
452	1342	1621
453	1345	1617
454	1348	1614
455	1351	1612
456	1353	1608
457	1356	1604
458	1358	1601
459	1362	1598
460	1364	1595
461	1366	1591
462	1369	1587
463	1371	1584
464	1373	1580
465	1376	1576
466	1378	1573
467	1381	1569
468	1383	1566
469	1385	1562
470	1387	1558
471	1390	1554
472	1392	1551
473	1395	1548
474	1397	1544
475	1400	1541
476	1403	1539
477	1406	1535
478	1408	1532
479	1411	1528
480	1413	1525
481	1416	1522
482	1418	1518
483	1420	1514
484	1423	1511
485	1426	1508
486	1429	1505
487	1432	1502
488	1434	1498
489	1436	1495
490	1440	1493
491	1442	1489
492	1445	1486
493	1447	1482
494	1449	1478
495	1452	1475
496	1454	1472
497	1456	1468
498	1459	1465
499	1461	1461
500	1463	1458
501	1466	1454
502	1468	1451
503	1471	1448
504	1473	1444
505	1475	1440
506	1478	1437
507	1480	1433
508	1483	1431
509	1486	1428
510	1488	1424
511	1490	1420
512	1492	1417
513	1494	1413
514	1498	1410
515	1500	1407
516	1502	1403
517	1505	1400
518	1507	1397
519	1510	1393
520	1513	1391
521	1516	1388
522	1519	1385
523	1521	1381
524	1523	1378
525	1527	1376
526	1531	1374
527	1533	1371
528	1536	1367
529	1538	1364
530	1541	1361
531	1545	1359
532	1547	1356
533	1549	1352
534	1552	1349
535	1554	1345
536	1557	1342
537	1560	1339
538	1562	1336
539	1564	1332
540	1567	1329
541	1569	1326
542	1571	1322
543	1574	1319
544	1576	1316
545	1578	1312
546	1580	1309
547	1583	1305
548	1585	1302
549	1588	1299
550	1590	1295
551	1592	1292
552	1594	1289
553	1597	1285
554	1599	1282
555	1601	1278
556	1603	1275
557	1606	1272
558	1608	1268
559	1610	1265
560	1612	1261
561	1614	1258
562	1617	1255
563	1619	1252
564	1622	1249
565	1624	1245
566	1626	1242
567	1628	1238
568	1630	1235
569	1633	1232
570	1635	1228
571	1637	1225
572	1640	1222
573	1642	1218
